run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20230911-15:42:29-6538,runattr,,,configname,General,,
General-0-20230911-15:42:29-6538,runattr,,,datetime,20230911-15:42:29,,
General-0-20230911-15:42:29-6538,runattr,,,datetimef,20230911-154229,,
General-0-20230911-15:42:29-6538,runattr,,,experiment,General,,
General-0-20230911-15:42:29-6538,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20230911-15:42:29-6538,runattr,,,iterationvars,,,
General-0-20230911-15:42:29-6538,runattr,,,iterationvarsd,,,
General-0-20230911-15:42:29-6538,runattr,,,iterationvarsf,,,
General-0-20230911-15:42:29-6538,runattr,,,measurement,,,
General-0-20230911-15:42:29-6538,runattr,,,network,TSN_multipath,,
General-0-20230911-15:42:29-6538,runattr,,,processid,6538,,
General-0-20230911-15:42:29-6538,runattr,,,repetition,0,,
General-0-20230911-15:42:29-6538,runattr,,,replication,#0,,
General-0-20230911-15:42:29-6538,runattr,,,resultdir,results,,
General-0-20230911-15:42:29-6538,runattr,,,runnumber,0,,
General-0-20230911-15:42:29-6538,runattr,,,seedset,0,,
General-0-20230911-15:42:29-6538,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20230911-15:42:29-6538,config,,,network,TSN_multipath,,
General-0-20230911-15:42:29-6538,config,,,sim-time-limit,10ms,,
General-0-20230911-15:42:29-6538,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20230911-15:42:29-6538,config,,,*.*.hasStreamRedundancy,true,,
General-0-20230911-15:42:29-6538,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20230911-15:42:29-6538,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20230911-15:42:29-6538,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20230911-15:42:29-6538,config,,,*.host0.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch0.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch0.eth[1].bitrate,180Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch0.eth[2].bitrate,150Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch0.eth[3].bitrate,190Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch0.eth[4].bitrate,130Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch0.eth[5].bitrate,140Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch0.eth[6].bitrate,120Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch0.eth[7].bitrate,220Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch0.eth[8].bitrate,210Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.host1.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[1].bitrate,150Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[2].bitrate,180Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[3].bitrate,190Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[4].bitrate,190Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[5].bitrate,200Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[6].bitrate,150Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[7].bitrate,210Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[8].bitrate,150Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[9].bitrate,220Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[10].bitrate,140Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[11].bitrate,230Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[12].bitrate,130Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch1.eth[13].bitrate,150Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.host2.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[1].bitrate,130Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[2].bitrate,210Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[3].bitrate,170Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[4].bitrate,230Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[5].bitrate,170Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[6].bitrate,220Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[7].bitrate,210Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[8].bitrate,150Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[9].bitrate,210Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[10].bitrate,120Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch2.eth[11].bitrate,190Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.host3.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[1].bitrate,150Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[2].bitrate,170Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[3].bitrate,140Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[4].bitrate,150Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[5].bitrate,150Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[6].bitrate,210Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[7].bitrate,210Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[8].bitrate,190Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[9].bitrate,170Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[10].bitrate,140Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[11].bitrate,230Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[12].bitrate,160Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch3.eth[13].bitrate,230Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.host4.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch4.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch4.eth[1].bitrate,180Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch4.eth[2].bitrate,230Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch4.eth[3].bitrate,210Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch4.eth[4].bitrate,220Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch4.eth[5].bitrate,230Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch4.eth[6].bitrate,230Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch4.eth[7].bitrate,200Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch4.eth[8].bitrate,140Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.host5.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch5.eth[0].bitrate,100Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch5.eth[1].bitrate,190Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch5.eth[2].bitrate,210Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch5.eth[3].bitrate,140Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch5.eth[4].bitrate,210Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch5.eth[5].bitrate,230Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch5.eth[6].bitrate,170Mbps,,
General-0-20230911-15:42:29-6538,config,,,*.switch5.eth[7].bitrate,200Mbps,,
