run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20231231-11:18:54-136819,runattr,,,configname,General,,
General-0-20231231-11:18:54-136819,runattr,,,datetime,20231231-11:18:54,,
General-0-20231231-11:18:54-136819,runattr,,,datetimef,20231231-111854,,
General-0-20231231-11:18:54-136819,runattr,,,experiment,General,,
General-0-20231231-11:18:54-136819,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20231231-11:18:54-136819,runattr,,,iterationvars,,,
General-0-20231231-11:18:54-136819,runattr,,,iterationvarsd,,,
General-0-20231231-11:18:54-136819,runattr,,,iterationvarsf,,,
General-0-20231231-11:18:54-136819,runattr,,,measurement,,,
General-0-20231231-11:18:54-136819,runattr,,,network,TSN_multipath,,
General-0-20231231-11:18:54-136819,runattr,,,processid,136819,,
General-0-20231231-11:18:54-136819,runattr,,,repetition,0,,
General-0-20231231-11:18:54-136819,runattr,,,replication,#0,,
General-0-20231231-11:18:54-136819,runattr,,,resultdir,results,,
General-0-20231231-11:18:54-136819,runattr,,,runnumber,0,,
General-0-20231231-11:18:54-136819,runattr,,,seedset,0,,
General-0-20231231-11:18:54-136819,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20231231-11:18:54-136819,config,,,network,TSN_multipath,,
General-0-20231231-11:18:54-136819,config,,,sim-time-limit,100ms,,
General-0-20231231-11:18:54-136819,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20231231-11:18:54-136819,config,,,*.*.hasStreamRedundancy,true,,
General-0-20231231-11:18:54-136819,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20231231-11:18:54-136819,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20231231-11:18:54-136819,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20231231-11:18:54-136819,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch0.eth[1].bitrate,2400Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch0.eth[2].bitrate,2000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.host1.eth[0].bitrate,1000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch1.eth[0].bitrate,1000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch1.eth[1].bitrate,1700Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch1.eth[2].bitrate,1400Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.host2.eth[0].bitrate,1000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch2.eth[0].bitrate,1000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch2.eth[1].bitrate,2400Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch2.eth[2].bitrate,1500Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch2.eth[3].bitrate,1600Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch2.eth[4].bitrate,1400Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.host3.eth[0].bitrate,1000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch3.eth[0].bitrate,1000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch3.eth[1].bitrate,1700Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch3.eth[2].bitrate,1500Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch3.eth[3].bitrate,2000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch3.eth[4].bitrate,1400Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch3.eth[5].bitrate,2200Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.host4.eth[0].bitrate,1000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch4.eth[0].bitrate,1000Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch4.eth[1].bitrate,1600Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch4.eth[2].bitrate,2200Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.switch4.eth[3].bitrate,1400Mbps,,
General-0-20231231-11:18:54-136819,config,,,*.host2.numApps,1,,
General-0-20231231-11:18:54-136819,config,,,*.host2.app[0].typename,UdpSourceApp,,
General-0-20231231-11:18:54-136819,config,,,*.host2.app[0].io.destAddress,"""host1""",,
General-0-20231231-11:18:54-136819,config,,,*.host2.app[0].source.packetNameFormat,"""%M-%m-%c""",,
General-0-20231231-11:18:54-136819,config,,,*.host2.app[0].source.displayStringTextFormat,"""sent %p pk (%l)""",,
General-0-20231231-11:18:54-136819,config,,,*.host2.app[0].source.packetLength,19B,,
General-0-20231231-11:18:54-136819,config,,,*.host2.app[0].source.productionInterval,1ms,,
General-0-20231231-11:18:54-136819,config,,,*.host2.app[0].display-name,type2_2,,
General-0-20231231-11:18:54-136819,config,,,*.host2.app[0].io.destPort,1000,,
General-0-20231231-11:18:54-136819,config,,,*.host1.numApps,1,,
General-0-20231231-11:18:54-136819,config,,,*.host1.app[0].typename,UdpSinkApp,,
General-0-20231231-11:18:54-136819,config,,,*.host1.app[0].io.localPort,1000,,
General-0-20231231-11:18:54-136819,config,,,*.streamRedundancyConfigurator.configuration,"[
	{
		name: ""shortest_path"",
		packetFilter: ""*-type2_2-*"",
		source: ""host2"",
		destination: ""host1"",
		trees: [[[""host2"", ""switch2"", ""switch4"", ""switch1"", ""host1""]]]
	}]",,
