run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20231220-08:51:08-310011,runattr,,,configname,General,,
General-0-20231220-08:51:08-310011,runattr,,,datetime,20231220-08:51:08,,
General-0-20231220-08:51:08-310011,runattr,,,datetimef,20231220-085108,,
General-0-20231220-08:51:08-310011,runattr,,,experiment,General,,
General-0-20231220-08:51:08-310011,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20231220-08:51:08-310011,runattr,,,iterationvars,,,
General-0-20231220-08:51:08-310011,runattr,,,iterationvarsd,,,
General-0-20231220-08:51:08-310011,runattr,,,iterationvarsf,,,
General-0-20231220-08:51:08-310011,runattr,,,measurement,,,
General-0-20231220-08:51:08-310011,runattr,,,network,TSN_multipath,,
General-0-20231220-08:51:08-310011,runattr,,,processid,310011,,
General-0-20231220-08:51:08-310011,runattr,,,repetition,0,,
General-0-20231220-08:51:08-310011,runattr,,,replication,#0,,
General-0-20231220-08:51:08-310011,runattr,,,resultdir,results,,
General-0-20231220-08:51:08-310011,runattr,,,runnumber,0,,
General-0-20231220-08:51:08-310011,runattr,,,seedset,0,,
General-0-20231220-08:51:08-310011,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20231220-08:51:08-310011,config,,,network,TSN_multipath,,
General-0-20231220-08:51:08-310011,config,,,sim-time-limit,10ms,,
General-0-20231220-08:51:08-310011,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20231220-08:51:08-310011,config,,,*.*.hasStreamRedundancy,true,,
General-0-20231220-08:51:08-310011,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20231220-08:51:08-310011,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20231220-08:51:08-310011,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20231220-08:51:08-310011,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch0.eth[1].bitrate,1200Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch0.eth[2].bitrate,2200Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch0.eth[3].bitrate,2400Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch0.eth[4].bitrate,1200Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch0.eth[5].bitrate,1300Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch0.eth[6].bitrate,1600Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch0.eth[7].bitrate,2000Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch0.eth[8].bitrate,1600Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch0.eth[9].bitrate,2000Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.host1.eth[0].bitrate,1000Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch1.eth[0].bitrate,1000Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch1.eth[1].bitrate,1200Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch1.eth[2].bitrate,1300Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch1.eth[3].bitrate,1200Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch1.eth[4].bitrate,1700Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch1.eth[5].bitrate,1700Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch1.eth[6].bitrate,2100Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch1.eth[7].bitrate,1300Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch1.eth[8].bitrate,2000Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.host2.eth[0].bitrate,1000Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch2.eth[0].bitrate,1000Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch2.eth[1].bitrate,1600Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch2.eth[2].bitrate,1300Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch2.eth[3].bitrate,1200Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch2.eth[4].bitrate,1800Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch2.eth[5].bitrate,1800Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch2.eth[6].bitrate,1700Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch2.eth[7].bitrate,2300Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch2.eth[8].bitrate,1200Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch2.eth[9].bitrate,1700Mbps,,
General-0-20231220-08:51:08-310011,config,,,*.switch2.eth[10].bitrate,2100Mbps,,
