run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20231214-16:48:34-91424,runattr,,,configname,General,,
General-0-20231214-16:48:34-91424,runattr,,,datetime,20231214-16:48:34,,
General-0-20231214-16:48:34-91424,runattr,,,datetimef,20231214-164834,,
General-0-20231214-16:48:34-91424,runattr,,,experiment,General,,
General-0-20231214-16:48:34-91424,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20231214-16:48:34-91424,runattr,,,iterationvars,,,
General-0-20231214-16:48:34-91424,runattr,,,iterationvarsd,,,
General-0-20231214-16:48:34-91424,runattr,,,iterationvarsf,,,
General-0-20231214-16:48:34-91424,runattr,,,measurement,,,
General-0-20231214-16:48:34-91424,runattr,,,network,TSN_multipath,,
General-0-20231214-16:48:34-91424,runattr,,,processid,91424,,
General-0-20231214-16:48:34-91424,runattr,,,repetition,0,,
General-0-20231214-16:48:34-91424,runattr,,,replication,#0,,
General-0-20231214-16:48:34-91424,runattr,,,resultdir,results,,
General-0-20231214-16:48:34-91424,runattr,,,runnumber,0,,
General-0-20231214-16:48:34-91424,runattr,,,seedset,0,,
General-0-20231214-16:48:34-91424,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20231214-16:48:34-91424,config,,,network,TSN_multipath,,
General-0-20231214-16:48:34-91424,config,,,sim-time-limit,10ms,,
General-0-20231214-16:48:34-91424,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20231214-16:48:34-91424,config,,,*.*.hasStreamRedundancy,true,,
General-0-20231214-16:48:34-91424,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20231214-16:48:34-91424,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20231214-16:48:34-91424,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20231214-16:48:34-91424,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch0.eth[1].bitrate,1200Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch0.eth[2].bitrate,2400Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch0.eth[3].bitrate,1800Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch0.eth[4].bitrate,1900Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch0.eth[5].bitrate,1900Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.host1.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch1.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch1.eth[1].bitrate,1800Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch1.eth[2].bitrate,1700Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch1.eth[3].bitrate,1700Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch1.eth[4].bitrate,1200Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.host2.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch2.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch2.eth[1].bitrate,1200Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch2.eth[2].bitrate,1800Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch2.eth[3].bitrate,1900Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch2.eth[4].bitrate,1900Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.host3.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch3.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch3.eth[1].bitrate,2400Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch3.eth[2].bitrate,1700Mbps,,
General-0-20231214-16:48:34-91424,config,,,*.switch3.eth[3].bitrate,1900Mbps,,
