run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20231214-17:25:11-154237,runattr,,,configname,General,,
General-0-20231214-17:25:11-154237,runattr,,,datetime,20231214-17:25:11,,
General-0-20231214-17:25:11-154237,runattr,,,datetimef,20231214-172511,,
General-0-20231214-17:25:11-154237,runattr,,,experiment,General,,
General-0-20231214-17:25:11-154237,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20231214-17:25:11-154237,runattr,,,iterationvars,,,
General-0-20231214-17:25:11-154237,runattr,,,iterationvarsd,,,
General-0-20231214-17:25:11-154237,runattr,,,iterationvarsf,,,
General-0-20231214-17:25:11-154237,runattr,,,measurement,,,
General-0-20231214-17:25:11-154237,runattr,,,network,TSN_multipath,,
General-0-20231214-17:25:11-154237,runattr,,,processid,154237,,
General-0-20231214-17:25:11-154237,runattr,,,repetition,0,,
General-0-20231214-17:25:11-154237,runattr,,,replication,#0,,
General-0-20231214-17:25:11-154237,runattr,,,resultdir,results,,
General-0-20231214-17:25:11-154237,runattr,,,runnumber,0,,
General-0-20231214-17:25:11-154237,runattr,,,seedset,0,,
General-0-20231214-17:25:11-154237,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20231214-17:25:11-154237,config,,,network,TSN_multipath,,
General-0-20231214-17:25:11-154237,config,,,sim-time-limit,10ms,,
General-0-20231214-17:25:11-154237,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20231214-17:25:11-154237,config,,,*.*.hasStreamRedundancy,true,,
General-0-20231214-17:25:11-154237,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20231214-17:25:11-154237,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20231214-17:25:11-154237,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20231214-17:25:11-154237,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch0.eth[1].bitrate,1400Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch0.eth[2].bitrate,2000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch0.eth[3].bitrate,2000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch0.eth[4].bitrate,1600Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch0.eth[5].bitrate,2000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.host1.eth[0].bitrate,1000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch1.eth[0].bitrate,1000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch1.eth[1].bitrate,2000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch1.eth[2].bitrate,1800Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch1.eth[3].bitrate,1800Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch1.eth[4].bitrate,2000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.host2.eth[0].bitrate,1000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch2.eth[0].bitrate,1000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch2.eth[1].bitrate,1400Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch2.eth[2].bitrate,1600Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch2.eth[3].bitrate,1900Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch2.eth[4].bitrate,2100Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch2.eth[5].bitrate,1400Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.host3.eth[0].bitrate,1000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch3.eth[0].bitrate,1000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch3.eth[1].bitrate,1900Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch3.eth[2].bitrate,1800Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch3.eth[3].bitrate,2100Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch3.eth[4].bitrate,2300Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.host4.eth[0].bitrate,1000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch4.eth[0].bitrate,1000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch4.eth[1].bitrate,2000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch4.eth[2].bitrate,1800Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch4.eth[3].bitrate,2300Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch4.eth[4].bitrate,2000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch4.eth[5].bitrate,2000Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.switch4.eth[6].bitrate,1400Mbps,,
General-0-20231214-17:25:11-154237,config,,,*.host0.numApps,6,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[0].typename,UdpSinkApp,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[0].io.localPort,1000,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[1].typename,UdpBasicApp,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[1].destAddresses,"""host3""",,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[1].source.packetNameFormat,"""%M-%m-%c""",,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[1].source.displayStringTextFormat,"""sent %p pk (%l)""",,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[1].messageLength,23B,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[1].sendInterval,1ms,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[1].startTime,3200us,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[1].stopTime,4800us,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[1].display-name,type2_2,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[1].destPort,1003,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[2].typename,UdpBasicApp,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[2].destAddresses,"""host3""",,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[2].source.packetNameFormat,"""%M-%m-%c""",,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[2].source.displayStringTextFormat,"""sent %p pk (%l)""",,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[2].messageLength,23B,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[2].sendInterval,1ms,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[2].startTime,5700us,,
General-0-20231214-17:25:11-154237,config,,,*.host0.app[2].stopTime,5800us,,
