run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20231214-16:27:46-70605,runattr,,,configname,General,,
General-0-20231214-16:27:46-70605,runattr,,,datetime,20231214-16:27:46,,
General-0-20231214-16:27:46-70605,runattr,,,datetimef,20231214-162746,,
General-0-20231214-16:27:46-70605,runattr,,,experiment,General,,
General-0-20231214-16:27:46-70605,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20231214-16:27:46-70605,runattr,,,iterationvars,,,
General-0-20231214-16:27:46-70605,runattr,,,iterationvarsd,,,
General-0-20231214-16:27:46-70605,runattr,,,iterationvarsf,,,
General-0-20231214-16:27:46-70605,runattr,,,measurement,,,
General-0-20231214-16:27:46-70605,runattr,,,network,TSN_multipath,,
General-0-20231214-16:27:46-70605,runattr,,,processid,70605,,
General-0-20231214-16:27:46-70605,runattr,,,repetition,0,,
General-0-20231214-16:27:46-70605,runattr,,,replication,#0,,
General-0-20231214-16:27:46-70605,runattr,,,resultdir,results,,
General-0-20231214-16:27:46-70605,runattr,,,runnumber,0,,
General-0-20231214-16:27:46-70605,runattr,,,seedset,0,,
General-0-20231214-16:27:46-70605,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20231214-16:27:46-70605,config,,,network,TSN_multipath,,
General-0-20231214-16:27:46-70605,config,,,sim-time-limit,10ms,,
General-0-20231214-16:27:46-70605,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20231214-16:27:46-70605,config,,,*.*.hasStreamRedundancy,true,,
General-0-20231214-16:27:46-70605,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20231214-16:27:46-70605,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20231214-16:27:46-70605,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20231214-16:27:46-70605,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch0.eth[1].bitrate,2100Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch0.eth[2].bitrate,1700Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch0.eth[3].bitrate,1800Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch0.eth[4].bitrate,1500Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.host1.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch1.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch1.eth[1].bitrate,2000Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch1.eth[2].bitrate,2000Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch1.eth[3].bitrate,1900Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch1.eth[4].bitrate,2200Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.host2.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch2.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch2.eth[1].bitrate,2100Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch2.eth[2].bitrate,1800Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch2.eth[3].bitrate,1900Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch2.eth[4].bitrate,2100Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch2.eth[5].bitrate,1300Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch2.eth[6].bitrate,1400Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.host3.eth[0].bitrate,1000Mbps,,
General-0-20231214-16:27:46-70605,config,,,*.switch3.eth[0].bitrate,1000Mbps,,
