run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20240106-14:29:10-74358,runattr,,,configname,General,,
General-0-20240106-14:29:10-74358,runattr,,,datetime,20240106-14:29:10,,
General-0-20240106-14:29:10-74358,runattr,,,datetimef,20240106-142910,,
General-0-20240106-14:29:10-74358,runattr,,,experiment,General,,
General-0-20240106-14:29:10-74358,runattr,,,inifile,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/tutorials/extensibility_routing/omnetpp.ini,,
General-0-20240106-14:29:10-74358,runattr,,,iterationvars,,,
General-0-20240106-14:29:10-74358,runattr,,,iterationvarsd,,,
General-0-20240106-14:29:10-74358,runattr,,,iterationvarsf,,,
General-0-20240106-14:29:10-74358,runattr,,,measurement,,,
General-0-20240106-14:29:10-74358,runattr,,,network,TSN_multipath,,
General-0-20240106-14:29:10-74358,runattr,,,processid,74358,,
General-0-20240106-14:29:10-74358,runattr,,,repetition,0,,
General-0-20240106-14:29:10-74358,runattr,,,replication,#0,,
General-0-20240106-14:29:10-74358,runattr,,,resultdir,results,,
General-0-20240106-14:29:10-74358,runattr,,,runnumber,0,,
General-0-20240106-14:29:10-74358,runattr,,,seedset,0,,
General-0-20240106-14:29:10-74358,config,,,image-path,/home/ubuntu/omnetpp-6.0.1/samples/inet4.5/images,,
General-0-20240106-14:29:10-74358,config,,,network,TSN_multipath,,
General-0-20240106-14:29:10-74358,config,,,sim-time-limit,100ms,,
General-0-20240106-14:29:10-74358,config,,,*.macForwardingTableConfigurator.typename,,,
General-0-20240106-14:29:10-74358,config,,,*.*.hasStreamRedundancy,true,,
General-0-20240106-14:29:10-74358,config,,,*.*.bridging.streamRelay.typename,StreamRelayLayer,,
General-0-20240106-14:29:10-74358,config,,,*.*.bridging.streamCoder.typename,StreamCoderLayer,,
General-0-20240106-14:29:10-74358,config,,,*.streamRedundancyConfigurator.typename,StreamRedundancyConfigurator,,
General-0-20240106-14:29:10-74358,config,,,*.host0.eth[0].bitrate,1000Mbps,,
General-0-20240106-14:29:10-74358,config,,,*.switch0.eth[0].bitrate,1000Mbps,,
General-0-20240106-14:29:10-74358,config,,,*.switch0.eth[1].bitrate,1500Mbps,,
General-0-20240106-14:29:10-74358,config,,,*.switch0.eth[2].bitrate,1300Mbps,,
General-0-20240106-14:29:10-74358,config,,,*.switch0.eth[3].bitrate,1700Mbps,,
General-0-20240106-14:29:10-74358,config,,,*.switch0.eth[4].bitrate,1200Mbps,,
General-0-20240106-14:29:10-74358,config,,,*.switch0.eth[5].bitrate,1700Mbps,,
General-0-20240106-14:29:10-74358,config,,,*.switch0.eth[6].bitrate,2300Mbps,,
General-0-20240106-14:29:10-74358,config,,,*.switch0.eth[7].bitrate,1800Mbps,,
General-0-20240106-14:29:10-74358,config,,,*.switch0.eth[8].bitrate,2200Mbps,,
General-0-20240106-14:29:10-74358,config,,,*.switch0.eth[9].bitrate,2100Mbps,,
